Date,New_Starts_1L,1L_VRd,Total_1L,1L_D-VRd,1L_VTd,1L_D-VTd,1L_Rd,1L_DRd,1L_VRd-lite,2L_DVd,Total_2L,2L_DRd_2L,2L_DKd,2L_Kd,2L_PVd,2L_Isa-Kd,2L_Selinexor-Vd,3L_PVd_3L,Total_3L,3L_DKd_3L,3L_Kd_3L,3L_Elo-Pd,3L_Selinexor-Vd_3L,3L_Isa-Pd,4L+_Ide-cel,Total_4L+,4L+_Cilta-cel,4L+_Teclistamab,4L+_Talquetamab
1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-02-01,1062.3583333333333,84.26341353728121,1053.3181591015073,84.53615646981693,84.02881028289495,84.44671806188374,294.5015462267471,211.14524484818472,210.39626967469854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-01,1062.3583333333333,167.59308264249444,2095.0081827961085,168.531530263663,166.78837871257235,168.22344616174155,585.1327711276914,420.65656771976944,418.0824061681763,0.5667298437146304,3.9828717675532737,0.5775441027252067,0.5742617733055351,0.5687672778006702,0.5566921504849457,0.576139995057998,0.5627366244642874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-01,1062.3583333333333,249.88633307013612,3123.8033947463464,251.94155920020341,248.13014100653862,251.26599776224532,871.4504361626311,628.3796674244792,622.7492601201127,1.9329830540463604,13.603228407612502,1.9823032076049407,1.9672802623771468,1.9422365227581166,1.8876555171320952,1.9758710279313796,1.9148988157624627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-05-01,1062.3583333333333,331.0734028267963,4138.849641783964,334.7349852922494,327.95637699878796,333.529767027502,1153.1582161452789,834.2071768147338,824.1897166786155,4.194260478866637,29.560578134896765,4.330207151902067,4.288639360039844,4.219652889600399,4.070638043497816,4.312392628621588,4.144787582368416,0.03522615304434102,0.21350980538233058,0.03634853766494277,0.035997537685284756,0.03504610051637869,0.03561228681074666,0.03527918966063668,0.0,0.0,0.0,0.0,0.0
1999-06-01,1062.3583333333333,411.10289083781385,5139.523495666318,416.8878446792625,406.1980563250238,414.98095074865375,1430.0422553410112,1038.0576023755557,1022.2538953589967,7.401000676944554,52.24348327363113,7.694542511258813,7.604425605712786,7.455569839925174,7.137037691873747,7.655882521644299,7.295024426271748,0.11246713075259916,0.6840977774678341,0.11731960554778437,0.11579298143500324,0.1116965894447022,0.11412695213860755,0.11269451814913743,0.0,0.0,0.0,0.0,0.0
1999-07-01,1062.3583333333333,489.9355945119385,6125.355071036456,498.3809480505552,482.8053636428935,495.59285675187505,1701.943741172341,1239.86647096999,1216.8300959368637,11.577807976019887,81.86313819230337,12.124395111437266,11.955887741922558,11.678915101144458,11.0919915876208,12.052029349703929,11.382111324454455,0.25021799720126026,1.526894155045826,0.2635933151864345,0.2593606824876196,0.2481151226457488,0.2547673787358788,0.25083965878888403,0.0,0.0,0.0,0.0,0.0
1999-08-01,1062.3583333333333,567.5412028061851,7095.986489679222,579.1985440364718,557.7425575749808,575.3439385677744,1968.7441042418498,1439.5816187360836,1407.8345237158778,16.73198826603379,118.51230611169547,17.652580113014164,17.36753462574793,16.901402428306213,15.923551005981786,17.53003240329937,16.405217269312203,0.4674013680166906,2.860987698683288,0.49701832978287147,0.4875918015494084,0.46279060580499093,0.47741879398764314,0.4687667995416832,0.0,0.0,0.0,0.0,0.0
1999-09-01,1062.3583333333333,643.8962696364619,8051.1463466519945,659.3275105054566,630.9847819424363,654.2166016002881,2230.355892893253,1637.1603308348467,1595.204959239253,22.858366370437498,162.19834873144902,24.299970210326613,23.851600574144,23.122250527399782,21.607983552005862,24.10698677074081,22.351190726394467,0.7827754056777135,4.805878842249673,0.8400279296870591,0.8217006114306001,0.7739494764440774,0.8020317884786377,0.7853936305315856,0.0,0.0,0.0,0.0,0.0
1999-10-01,1062.3583333333333,718.9828591041719,8990.632584555322,738.756821405042,702.515907001107,732.196412637457,2486.716633262061,1832.5674486233052,1778.8965025221796,29.94239130087368,212.8643546573011,32.07819668351639,31.41086193590929,30.331209048567374,28.11324547001296,31.790632479614978,29.1978177388064,1.2144901686125078,7.478773767447504,1.3151789173428436,1.28276148146039,1.1991203071189802,1.248165395916173,1.21905749699661,0.0,0.0,0.0,0.0,0.0
1999-11-01,1062.3583333333333,792.7875820220003,9914.300273205468,817.4771731531987,772.3269744169592,809.2715433266158,2737.7844335953387,2025.7740378659714,1958.8785288253846,37.96231389898885,270.4038382087607,40.99148931699638,40.04057605787637,38.51067227232501,35.401432265904226,40.58123581415475,36.91611858251518,1.77975447356644,10.992502998996969,1.9447808237237147,1.8913426808400096,1.7548117546793711,1.8346340690473837,1.7871791971400488,0.035282934477133605,0.1430777570239318,0.037120421506668784,0.035884778000426686,0.03478962303970273
