Date,NewDx,On_1L,On_2L,On_3L_plus,On_Treatment_Total
1999-01-01,1249.8333333333333,0.0,0.0,0.0,0.0
1999-02-01,1249.8333333333333,1062.3583333333333,0.0,0.0,1062.3583333333333
1999-03-01,1249.8333333333333,2090.8474798544016,21.47747826858557,0.0,2112.324958122987
1999-04-01,1249.8333333333333,3086.547227596424,62.688402760984495,0.6513085909490818,3149.8869389483575
1999-05-01,1249.8333333333333,4050.502939727236,121.99658990650732,2.4673345143764505,4174.96686414812
1999-06-01,1249.8333333333333,4983.726652052983,197.8676893782248,5.8448565008129485,5187.439197932021
1999-07-01,1249.8333333333333,5887.198135532159,288.86348773202815,11.08233445955013,6187.143957723737
1999-08-01,1249.8333333333333,6761.865924915484,393.6365144805137,18.395657865737633,7173.898097261736
1999-09-01,1249.8333333333333,7608.648314591591,510.92493500026626,27.9316750248252,8147.504924616683
1999-10-01,1249.8333333333333,8428.43432268401,639.5477154624366,39.779801562568295,9107.761839709015
1999-11-01,1249.8333333333333,9222.084624411662,778.4000457281057,53.98196709793585,10054.466637237703
1999-12-01,1249.8333333333333,9990.432455692753,926.4490068637814,70.54112482964688,10987.422587386181
2000-01-01,1318.3333333333333,10734.284487940758,1082.7294706103617,89.42851902951107,11906.442477580631
2000-02-01,1318.3333333333333,11512.646674970916,1246.3402187828262,110.58987960023686,12869.57677335398
2000-03-01,1318.3333333333333,12266.193793965216,1417.617393948278,133.95069041155406,13817.761878325047
2000-04-01,1318.3333333333333,12995.716977396285,1595.6811938158485,159.45635510300903,14750.854526315143
2000-05-01,1318.3333333333333,13701.982135537544,1779.7112035994992,187.0327233075563,15668.7260624446
2000-06-01,1318.3333333333333,14385.73076057549,1968.9429570134232,216.59044386639764,16571.26416145531
2000-07-01,1318.3333333333333,15047.680705085957,2162.664683141565,248.02864555403474,17458.374033781554
2000-08-01,1318.3333333333333,15688.526935691674,2360.2142294953583,281.238038726617,18329.97920391365
2000-09-01,1318.3333333333333,16308.942262692373,2560.976152068017,316.1035188202397,19186.021933580632
2000-10-01,1318.3333333333333,16909.578046433457,2764.37896366308,352.50634178419676,20026.46335188073
2000-11-01,1318.3333333333333,17491.064881154834,2969.8925322205664,390.3259321218728,20851.28334549727
2000-12-01,1318.3333333333333,18054.01325703789,3177.0256212873433,429.4413760416957,21660.48025436693
2001-01-01,1352.8333333333333,18599.01420114562,3385.3235651801333,469.7326451295617,22454.070411455315
2001-02-01,1352.8333333333333,19155.964897928912,3594.36607177119,511.0815898008706,23261.412559500972
2001-03-01,1352.8333333333333,19695.159375739095,3804.358003636834,553.3727364517609,24052.89011582769
2001-04-01,1352.8333333333333,20217.163722946363,4014.8935597103596,596.51189611263,24828.56917876935
2001-05-01,1352.8333333333333,20722.52598038256,4225.598398214309,640.4048677907676,25588.529246387636
2001-06-01,1352.8333333333333,21211.776716717148,4436.127720171538,684.9583940485634,26332.86283093725
2001-07-01,1352.8333333333333,21685.429585489514,4646.164459073036,730.0809337374282,27061.674978299976
2001-08-01,1352.8333333333333,22143.98186438249,4855.417571095799,775.683278972318,27775.08271445061
2001-09-01,1352.8333333333333,22587.914977303208,5063.620420552462,821.6790397264816,28473.21443758215
